Localitate,Total,Români,Maghiari,Romi,Ucraineni,Germani,Ruși/lipoveni,Turci,Tătari,Sârbi,Slovaci,Bulgari,Croați,Greci,Evrei,Cehi,Polonezi,Italieni,Chinezi,Armeni,Ceangăi,Altă ethnie,Ethnie nedeclarată,Ortodox,Romano-catolic,Reformat?,Penticostal,Greco catolic?,Baptist,Adventist de ziua a șaptea,Musulman,Unitarian,Creștin după Evangelie,Crestin de rit vechi,Evanghelic lutheran sinodo-presbiterian,Evanghelic,Evanghelic de confesiune augustan,Mozaică,Altă religie,Fără religie,Atei,Religie nedeclarată,
755,Berzovia c. / Zsidovin község (CS),4165,3429,178,361,7,84,1,0,0,3,97,0,1,0,0,1,0,0,0,0,0,3,0,3458,390,15,151,10,124,4,0,0,0,1,0,4,2,0,5,0,0,1
756,Bolvaºniþa c. / Bolvás község (CS),1573,1566,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,4,0,35,0,269,1,0,0,0,0,0,4,0,0,0,4,0,4
757,Bozovici c. / Bozovics község (CS),3321,3144,18,84,4,13,0,0,0,2,0,0,0,0,0,54,0,0,0,0,1,0,1,2991,86,8,29,3,178,3,2,0,10,0,2,0,0,0,1,0,0,8
758,Brebu c. / Perlõ község (CS),1340,1310,3,9,4,9,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1244,20,0,23,4,6,0,0,0,0,0,0,0,0,0,43,0,0,0
759,Brebu Nou c. / Temesfõ község (CS),87,44,5,0,0,34,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,42,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
760,Buchin c. / Bökény község (CS),2147,2123,3,12,4,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1963,16,1,35,2,124,6,0,0,0,0,0,0,0,0,0,0,0,0
761,Bucoºniþa c. / Bokos község (CS),3125,3120,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2647,4,2,7,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0
762,Caraºova c. / Krassóvár község (CS),3260,144,12,146,0,16,0,0,0,16,0,1,2758,0,0,1,0,0,0,0,0,162,4,236,3017,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
763,Cãrbunari c. / Szenesfalu község (CS),1282,1279,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1070,2,0,0,0,209,0,0,0,0,0,0,0,0,0,1,0,0,0
764,Ciclova Românã c. / Csiklófalu község (CS),1814,1699,3,96,1,5,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1618,11,1,34,15,130,0,0,0,0,0,0,0,0,0,0,4,1,0
765,Ciuchici c. / Tyukó község (CS),1257,1181,1,61,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,9,0,21,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
766,Ciudanoviþa c. / Csudafalva község (CS),777,744,8,19,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,657,14,5,28,15,47,10,0,0,0,0,0,0,0,0,0,1,0,0
767,Constantin Daicoviciu c. / Kavarán község (CS),2946,2838,10,35,55,3,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2688,24,4,84,2,140,1,2,0,0,0,0,0,0,0,0,1,0,0
768,Copãcele c. / Ruténtelep község (CS),1357,469,3,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,4,0,48,0,10,3,0,0,0,0,0,1,0,0,1,0,0,0
769,Cornea c. / Somfa község (CS),2178,2143,1,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124,2,0,2,0,48,0,0,0,0,0,0,0,0,0,1,0,0,1
770,Cornereva c. / Somosréve község (CS),3403,3402,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3398,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1
771,Coronini (CS),1878,1355,1,0,0,1,0,0,0,6,1,0,0,0,0,514,0,0,0,0,0,0,0,1120,368,0,0,0,382,0,0,0,0,0,0,4,2,0,0,0,1,1
772,Dalboºeþ c. / Dalbosfalva község (CS),1919,1899,2,10,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1819,0,2,0,4,94,0,0,0,0,0,0,0,0,0,0,0,0,0
773,Doclin c. / Doklény község (CS),2047,1755,21,80,8,120,0,0,0,2,0,0,60,0,0,0,0,0,0,0,0,1,0,1607,290,6,65,0,68,8,0,0,2,0,0,0,0,0,0,1,0,0
774,Dognecea c. / Dognácska község (CS),2044,1867,8,25,0,131,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,1527,167,4,138,2,200,0,0,0,0,0,0,0,0,0,2,4,0,0
775,Domaºnea c. / Domásnya község (CS),1500,1474,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485,0,0,9,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
776,Eftimie Murgu c. / Ógerlistye község (CS),1822,1815,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538,0,0,0,1,283,0,0,0,0,0,0,0,0,0,0,0,0,0
777,Ezeriº / Ezeres község (CS),1410,1328,19,48,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,7,1254,12,2,130,2,7,0,0,0,0,0,0,0,0,0,1,2,0,0
