"JUD" "DEN_JUD" "numarColegiu" "numeTipColegiu" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL ALIANÞA SOCIALISTÃ" "BOTOªANI_3_CONÞAC CONSTANTIN"
31 "PRAHOVA" 1 "SENAT" 167463 166203 971 289 71848 70593 971 284 183925 112079 69550 1737 558 41069 167 17366 1100 9848 0 0 0 0 0 0 0 0
31 "PRAHOVA" 2 "SENAT" 117999 117140 596 263 58720 57865 596 259 129005 70293 56556 1806 349 37050 225 11642 0 7639 0 0 0 0 0 0 0 0
31 "PRAHOVA" 3 "SENAT" 149894 148551 920 423 69569 68235 920 414 164100 94535 67413 1422 730 39356 110 16126 1024 10797 0 0 0 0 0 0 0 0
31 "PRAHOVA" 4 "SENAT" 113028 111523 1196 309 60724 59227 1196 301 123511 62791 58356 1550 814 34597 73 15325 796 6707 0 0 264 0 141 453 0 0
31 "PRAHOVA" 5 "SENAT" 136006 135330 578 98 61124 60448 578 98 149908 88785 59452 1486 184 31648 97 19553 0 6849 0 1305 0 0 0 0 0 0
32 "SATU MARE" 1 "SENAT" 178664 176787 1235 642 65007 63145 1235 627 196292 131285 62755 1430 822 29325 13127 12933 429 5931 1010 0 0 0 0 0 0 0
32 "SATU MARE" 2 "SENAT" 139378 137765 1077 536 53700 52104 1077 519 153697 99997 52272 860 567 15925 25853 5211 264 3336 1683 0 0 0 0 0 0 0
33 "SÃLAJ" 1 "SENAT" 97137 95694 615 828 43571 42138 615 818 106159 62588 42047 901 623 11075 15349 8936 0 5445 1242 0 0 0 0 0 0 0
33 "SÃLAJ" 2 "SENAT" 105265 104169 830 266 42161 41073 830 258 114953 72792 41136 654 371 23812 3297 5849 0 7701 477 0 0 0 0 0 0 0
34 "SIBIU" 1 "SENAT" 141692 140950 545 197 56383 55664 545 174 157497 101113 54467 1565 351 31251 1146 14877 1369 5267 0 0 0 0 557 0 0 0
34 "SIBIU" 2 "SENAT" 123399 122268 751 380 45356 44231 751 374 137101 91745 43409 1302 645 23418 1897 8631 0 7957 224 1282 0 0 0 0 0 0
34 "SIBIU" 3 "SENAT" 107022 106387 522 113 36494 35861 522 111 119600 83106 34764 1094 636 18502 263 6633 922 6740 0 1119 0 0 585 0 0 0
35 "SUCEAVA" 1 "SENAT" 121786 120809 791 186 47269 46292 791 186 133196 85931 45782 1039 444 27457 164 9806 1240 7115 0 0 0 0 0 0 0 0
35 "SUCEAVA" 2 "SENAT" 173274 171940 1095 239 72322 70994 1095 233 189596 117276 70146 1484 690 34312 177 29936 842 4619 0 0 0 0 260 0 0 0
35 "SUCEAVA" 3 "SENAT" 127132 125395 1317 420 51742 50031 1317 394 138499 86758 49744 1306 689 35054 81 6445 997 6371 0 251 0 0 545 0 0 0
35 "SUCEAVA" 4 "SENAT" 157822 156645 1059 118 54727 53556 1055 116 172781 118055 52258 1467 996 31302 116 11627 1026 6948 0 623 0 0 424 0 192 0
